participant_num,trial_index,stimulus,task,word,correct,reaction_time,length,lgSUBTLWF,freqGroup
3,48,doing,lexical_decision,TRUE,TRUE,2085,5,4.72,high
3,49,bcrztxl,lexical_decision,FALSE,TRUE,626,NA,NA,nonword
3,50,plimber,lexical_decision,FALSE,TRUE,1201,NA,NA,nonword
3,51,tromple,lexical_decision,FALSE,TRUE,968,NA,NA,nonword
3,52,brendle,lexical_decision,FALSE,TRUE,988,NA,NA,nonword
3,53,blong,lexical_decision,FALSE,TRUE,847,NA,NA,nonword
3,54,sized,lexical_decision,TRUE,TRUE,731,5,1.518,low
3,55,bkgtl,lexical_decision,FALSE,TRUE,750,NA,NA,nonword
3,56,fphql,lexical_decision,FALSE,TRUE,634,NA,NA,nonword
3,57,believe,lexical_decision,TRUE,TRUE,833,7,4.504,high
3,58,where,lexical_decision,TRUE,TRUE,595,5,4.97,high
3,59,hmfjpwb,lexical_decision,FALSE,TRUE,579,NA,NA,nonword
3,60,ptwxlbn,lexical_decision,FALSE,TRUE,589,NA,NA,nonword
3,61,going,lexical_decision,TRUE,TRUE,606,5,5.035,high
3,62,cjvgy,lexical_decision,FALSE,TRUE,563,NA,NA,nonword
3,63,woven,lexical_decision,TRUE,TRUE,811,5,1.518,low
3,64,flirp,lexical_decision,FALSE,TRUE,705,NA,NA,nonword
3,65,qwsdfge,lexical_decision,FALSE,TRUE,893,NA,NA,nonword
4,2,pasty,lexical_decision,TRUE,TRUE,1836,5,1.505,low
4,3,plimber,lexical_decision,FALSE,TRUE,1509,NA,NA,nonword
4,4,another,lexical_decision,TRUE,TRUE,865,7,4.415,high
4,5,believe,lexical_decision,TRUE,TRUE,614,7,4.504,high
4,6,bcrztxl,lexical_decision,FALSE,TRUE,676,NA,NA,nonword
4,7,zvxqrdt,lexical_decision,FALSE,TRUE,626,NA,NA,nonword
4,8,qwsdfge,lexical_decision,FALSE,TRUE,558,NA,NA,nonword
4,9,morning,lexical_decision,TRUE,TRUE,655,7,4.35,high
4,10,platter,lexical_decision,TRUE,TRUE,566,7,2.176,low
4,11,fphql,lexical_decision,FALSE,TRUE,647,NA,NA,nonword
4,12,talking,lexical_decision,TRUE,TRUE,566,7,4.405,high
4,13,brote,lexical_decision,FALSE,TRUE,1008,NA,NA,nonword
4,14,heaving,lexical_decision,TRUE,TRUE,768,7,1.505,low
4,15,doing,lexical_decision,TRUE,TRUE,1381,5,4.72,high
4,16,ptbwx,lexical_decision,FALSE,TRUE,736,NA,NA,nonword
4,17,trilogy,lexical_decision,TRUE,TRUE,1098,7,1.518,low
4,18,kwilt,lexical_decision,FALSE,TRUE,1461,NA,NA,nonword
4,19,sized,lexical_decision,TRUE,TRUE,803,5,1.518,low
4,20,brendle,lexical_decision,FALSE,TRUE,1039,NA,NA,nonword
4,21,nothing,lexical_decision,TRUE,TRUE,714,7,4.639,high
4,22,cjvgy,lexical_decision,FALSE,TRUE,691,NA,NA,nonword
4,23,going,lexical_decision,TRUE,TRUE,736,5,5.035,high
4,24,ptwxlbn,lexical_decision,FALSE,TRUE,783,NA,NA,nonword
4,25,denim,lexical_decision,TRUE,TRUE,953,5,1.532,low
4,26,tipsy,lexical_decision,TRUE,TRUE,694,5,1.532,low
4,27,trinity,lexical_decision,TRUE,TRUE,568,7,2.176,low
4,28,doubles,lexical_decision,TRUE,TRUE,532,7,2.173,low
4,29,woven,lexical_decision,TRUE,TRUE,537,5,1.518,low
4,30,snackle,lexical_decision,FALSE,TRUE,1066,NA,NA,nonword
4,31,through,lexical_decision,TRUE,TRUE,818,7,4.448,high
4,32,knitted,lexical_decision,TRUE,TRUE,632,7,1.532,low
4,33,sorry,lexical_decision,TRUE,TRUE,506,5,4.775,high
4,34,vqnfksp,lexical_decision,FALSE,TRUE,543,NA,NA,nonword
4,35,taunt,lexical_decision,TRUE,TRUE,628,5,1.518,low
4,36,ploke,lexical_decision,FALSE,TRUE,1114,NA,NA,nonword
4,37,tpszk,lexical_decision,FALSE,TRUE,704,NA,NA,nonword
4,38,bkgtl,lexical_decision,FALSE,TRUE,726,NA,NA,nonword
4,39,lxzctgr,lexical_decision,FALSE,TRUE,641,NA,NA,nonword
4,40,where,lexical_decision,TRUE,TRUE,724,5,4.97,high
4,41,zxcvb,lexical_decision,FALSE,TRUE,748,NA,NA,nonword
4,42,ribbons,lexical_decision,TRUE,TRUE,729,7,2.176,low
4,43,think,lexical_decision,TRUE,TRUE,672,5,5.138,high
4,44,lbmwq,lexical_decision,FALSE,TRUE,644,NA,NA,nonword
4,45,glonick,lexical_decision,FALSE,TRUE,1128,NA,NA,nonword
4,46,looking,lexical_decision,TRUE,TRUE,717,7,4.344,high
4,47,maybe,lexical_decision,TRUE,TRUE,620,5,4.674,high
4,48,thought,lexical_decision,TRUE,TRUE,689,7,4.615,high
4,49,aided,lexical_decision,TRUE,TRUE,690,5,1.532,low
4,50,hmfjpwb,lexical_decision,FALSE,TRUE,580,NA,NA,nonword
4,51,blong,lexical_decision,FALSE,FALSE,617,NA,NA,nonword
4,52,inhabit,lexical_decision,TRUE,TRUE,1582,7,1.532,low
4,53,exert,lexical_decision,TRUE,TRUE,1175,5,1.544,low
4,54,qwsdf,lexical_decision,FALSE,TRUE,605,NA,NA,nonword
4,55,thing,lexical_decision,TRUE,TRUE,881,5,4.745,high
4,56,frosket,lexical_decision,FALSE,TRUE,960,NA,NA,nonword
4,57,claster,lexical_decision,FALSE,TRUE,1174,NA,NA,nonword
4,58,glarp,lexical_decision,FALSE,TRUE,962,NA,NA,nonword
4,59,splinth,lexical_decision,FALSE,TRUE,822,NA,NA,nonword
4,60,gkfjvmd,lexical_decision,FALSE,TRUE,774,NA,NA,nonword
4,61,right,lexical_decision,TRUE,TRUE,717,5,5.311,high
4,62,threp,lexical_decision,FALSE,TRUE,832,NA,NA,nonword
4,63,tromple,lexical_decision,FALSE,TRUE,1003,NA,NA,nonword
4,64,flirp,lexical_decision,FALSE,TRUE,1031,NA,NA,nonword
4,65,stend,lexical_decision,FALSE,TRUE,799,NA,NA,nonword
5,2,kwilt,lexical_decision,FALSE,TRUE,1708,NA,NA,nonword
5,3,brendle,lexical_decision,FALSE,TRUE,2872,NA,NA,nonword
5,4,bcrztxl,lexical_decision,FALSE,TRUE,1248,NA,NA,nonword
5,5,believe,lexical_decision,TRUE,TRUE,723,7,4.504,high
5,6,inhabit,lexical_decision,TRUE,TRUE,1265,7,1.532,low
5,7,heaving,lexical_decision,TRUE,TRUE,1545,7,1.505,low
5,8,doubles,lexical_decision,TRUE,TRUE,602,7,2.173,low
5,9,frosket,lexical_decision,FALSE,TRUE,1012,NA,NA,nonword
5,10,hmfjpwb,lexical_decision,FALSE,TRUE,905,NA,NA,nonword
5,11,where,lexical_decision,TRUE,TRUE,1010,5,4.97,high
5,12,platter,lexical_decision,TRUE,TRUE,808,7,2.176,low
5,13,thing,lexical_decision,TRUE,TRUE,743,5,4.745,high
5,14,zxcvb,lexical_decision,FALSE,TRUE,587,NA,NA,nonword
5,15,pasty,lexical_decision,TRUE,TRUE,626,5,1.505,low
5,16,through,lexical_decision,TRUE,TRUE,1516,7,4.448,high
5,17,exert,lexical_decision,TRUE,TRUE,796,5,1.544,low
5,18,stend,lexical_decision,FALSE,TRUE,926,NA,NA,nonword
5,19,qwsdf,lexical_decision,FALSE,TRUE,809,NA,NA,nonword
